老家,#genre#

CCTV13新闻,http://vapi.91kds.cc/live1/xuexi.m3u8?id=cctv13&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
CCTV-13,http://vapi.91kds.cc/live1/cctvxw.m3u8?bt=2&id=cctv13hd&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
河南卫视,http://120.76.248.139/live/hatv/hawshd.m3u8
河南乡村,http://120.76.248.139/live/hatv/hatv9.m3u8
梨园频道,http://120.76.248.139/live/hatv/haly.m3u8
睛彩中原,http://120.76.248.139/live/hatv/hatv11.m3u8
新野综合,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8
凤凰中文,http://iptv.nastool.site:56789/udp/SCtelecom.php?id=sn-fhzx
射雕英雄,http://120.77.28.4:8648/yy.php?id=1354210357
CHC动作,http://video.qd.sdu.edu.cn/liverespath/e0096742f0c5be4c5225cf3c7ab1077177bec05f/index.m3u8
经典剧场,http://zby.xjqxz.top/gzwxj/live.m3u8
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
西藏卫视,http://vapi.91kds.cc/live1/xztv.m3u8?id=xzws&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
内蒙卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880

———————————————————————————————————————————————————
测试,#genre#


CCTV-13-migu,http://120.77.28.4:8648/mgu.php?id=cctv13
CCTV-13-scyd,http://183.223.157.123:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13-dl,http://iptv.nastool.site:56789/udp/SNtele.php?id=cctv13
CCTV-13-ipv6,http://[2409:8087:1a01:df::4027]/TVOD/88888888/224/3221226125/main.m3u8
CCTV-1,http://120.77.28.4:8648/mgu.php?id=cctv1
CCTV-4,http://120.77.28.4:8648/mgu.php?id=cctv4
CCTV-5,http://120.77.28.4:8648/mgu.php?id=cctv5
CCTV-6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV-15,http://120.77.28.4:8648/mgu.php?id=cctv15
CETV-1,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
南阳新闻,http://vapi.91kds.cc/live1/hanytv.m3u8?id=hanytv1&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
洛阳新闻,http://wshls.live.migucloud.com/live/C788MHFD_C0/playlist.m3u8
襄阳综合-dl,http://iptv.nastool.site:56789/localtv/cjy.php?id=xyzh
武汉新闻,http://stream.appwuhan.com/1tzb/sd/live.m3u8
十堰新闻,http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
宜昌综合,https://liveplay.ycrmt.cn/sxgd/zhpd.m3u8
房县综合,http://play-hsbj.vzan.com/844270/495391109072307857/live.m3u8
重庆新闻,http://vapi.91kds.cc/live1/cqyx.m3u8?id=cqxw&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
重庆移动,http://vapi.91kds.cc/live1/cqyx.m3u8?id=cqyd&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
巫山综合,https://qxlmlive9.cbg.cn/applive/wspd001/chunklist.m3u8
巴南综合,https://live.cqbntv.com/bnmc/tv0709.m3u8
成都综合,http://vapi.91kds.cc/live1/sccdsnzx.m3u8?id=sccdtv1&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
眉山综合,http://vapi.91kds.cc/live1/hoge.m3u8?ip=scmstv&id=8&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
内江综合,https://njzb.scnj.tv/hls_njtv_direct/1.m3u8
泸州新闻,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8
福建新闻,http://vapi.91kds.cc/live1/fjtv.m3u8?id=fjxw&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
福建旅游,http://vapi.91kds.cc/live1/fjtv.m3u8?id=fjds&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8
厦门一套,http://vapi.91kds.cc/live1/hoge.m3u8?ip=fjxmtv&id=58&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
石家庄新闻,http://120.76.248.139/live/jdtv/hesjz1.m3u8
陕西卫视-dl,http://iptv.nastool.site:56789/udp/SNtele.php?id=sxws
陕西新闻-dl,http://iptv.nastool.site:56789/udp/SNtele.php?id=sxxwzx
北京生活,http://vapi.91kds.cc/live1/btv.m3u8?id=btv7&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
大兴综合,http://vapi.91kds.cc/live1/polyv.m3u8?id=bjdxtv1&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
南昌新闻,http://vapi.91kds.cc/live1/jxnctv.m3u8?fmt=flv&id=jxnctv1&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
温州综合,http://play-qk.wzrb.com.cn/live/1699597667591352.m3u8?auth_key=2020833336-ef01f843ba59489b9d84349c672d71db-0-249871a0a9a8d3ba6e0e6d2090475e19
宁波综合,http://vapi.91kds.cc/live1/zjnbtv.m3u8?id=zjnbtv1&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
江苏新闻,http://vapi.91kds.cc/live1/jstv.m3u8?id=jsgg&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
南京新闻,http://live.nbs.cn/channels/njtv/xwzh/nbs06.m3u8
苏州新闻,http://tylive.kan0512.com/norecord/norecord_csztv1/playlist.m3u8
嘉兴新闻,http://vapi.91kds.cc/live1/qklive.m3u8?id=zjjxtv1&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
东莞新闻,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
清廉曲靖,http://channel.qjrb.cn/nmip-media/channellive/channel125689/playlist.m3u8
塔河综合,https://rmplive.hljtv.com/live/tahe.m3u8
长春综合,https://p2bj.vzan.com/slowlive/662567539514013385/live.m3u8
西宁综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8
银川生活,http://play-sh13.quklive.com:80/live/1667883987087179.m3u8?auth_key=2015914201-e789f4bf87944ac98fc8e0c712232434-0-474d2b458436091b7c92eb893b9561f0
鄂温克台,http://vapi.91kds.cc/live1/tianma.m3u8?ip=ewkrm.nmgcyy.com.cn&id=12&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
乌鲁木齐,http://pili-live-rtmp.xjwlmqapp2019.sobeylive.com/xjwlmqapp2019/xwzh.m3u8
阿勒泰台,https://play-a2.quklive.com/live/1704380285590041.m3u8
喀什综合,http://222.80.82.206:9300/hls/live/kstv1.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
内蒙新闻,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
呼市新闻,https://livestream-bt.nmtv.cn/nmtv/2331general.m3u8?txSecret=70072e9dff1f4042fcefde5b001af668&txTime=771E8800
西藏卫视,http://117.72.68.25:9930/xizang.php?id=0


———————————————————————————————————————————————————
精选,#genre#

重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D
重温经典-pull,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典-cqyx,http://vapi.91kds.cc/live1/cqyx.m3u8?id=cwjd&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
重温经典-loudi,http://iptv.nastool.site:56789/hotel/lde.php?id=cwjd
凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
经典小品,http://maomao.kandiantv.cn/douyu1.php?id=9067836
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8
文物宝库,http://120.76.248.139/live/hatv/hawwbk.m3u8
武术世界,http://120.76.248.139/live/hatv/hawssj.m3u8
东北戏曲,http://120.76.248.139/live/jdtv/jlxq.m3u8
金马影院,http://pull.kktv8.com/livekktv/128600025.flv
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=88ad17e0518f41980b392744d8ecbfc7&txTime=190def6e358
河北影视,http://tv.pull.hebtv.com/zhibo/yingshijupindao.m3u8?t=2510710360&k=2d3ada9117a7f1c3f7c11b67671bbe3c
西藏影视,http://vapi.91kds.cc/live1/xztv.m3u8?id=xzys&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
西部电影-dl,http://iptv.nastool.site:56789/udp/SNtele.php?id=sxxbdy
CHC动作-↺,http://120.76.248.139/live/jdtv/chcdz.m3u8
CHC家庭-↺,http://120.76.248.139/live/jdtv/chcjt.m3u8
CHC影迷-↺,http://120.76.248.139/live/jdtv/chchd.m3u8
94'水浒传,http://maomao.kandiantv.cn/douyu1.php?id=3758762
86'西游记,http://maomao.kandiantv.cn/douyu1.php?id=8953746
94'老三国,http://maomao.kandiantv.cn/douyu1.php?id=7459925
04'狄仁杰,http://maomao.kandiantv.cn/douyu1.php?id=3395113
大宋提刑,http://159.75.85.63:35455/huya/26355856?cdn=txcdn
星光剧场,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
武侠剧场,http://maomao.kandiantv.cn/douyu1.php?id=338759
怡宝影院,http://maomao.kandiantv.cn/douyu1.php?id=434971
沙发影院,http://maomao.kandiantv.cn/douyu1.php?id=276200
胖龙直播,http://maomao.kandiantv.cn/douyu1.php?id=9116745
农家小菜,http://120.77.28.4:8648/yy.php?id=1382736894
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
亚洲卫视,http://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8
足球频道,http://nmglive.imfc.cn/5n1r1c/182396.m3u8
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8



———————————————————————————————————————————————————
地方,#genre#

南阳公共,http://vapi.91kds.cc/live1/hanytv.m3u8?id=hanytv2&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
新野综合,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8
镇平综合,http://tvpull.dxhmt.cn:9081/tv/11324-1.m3u8
唐河综合,http://tvpull.dxhmt.cn:9081/tv/11328-1.m3u8
河南新闻,http://120.76.248.139/live/hatv/hatv6.m3u8
移动戏曲,http://120.76.248.139/live/hatv/haydxq.m3u8
象  视  界,http://120.76.248.139/live/hatv/haxsj.m3u8
郑州教育,https://livezzutv.chinamcache.com/zb02/zb02.m3u8?auth_key=1694413413-0-0-fdccf5824fa42b4a2e285f73e7d2d12b
洛阳科教,http://wshls.live.migucloud.com/live/CXGQPXRK_C0/playlist.m3u8
开封新闻,http://tvpull.dxhmt.cn:9081/tv/10200-2.m3u8
济源综合,http://tvpull.dxhmt.cn:9081/tv/19001-1.m3u8
周口新闻,http://117.159.72.12:8081/live/2216261506805201716.m3u8
周口四套,http://117.159.72.12:8081/live/6520562530090312540.m3u8
安阳新闻-dl,http://iptv.nastool.site:56789/udp/HAtele.php?id=ayxwzh
三门峡新闻-dl,http://iptv.nastool.site:56789/udp/HAtele.php?id=smxxwzh
焦作综合,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
驻马店台,http://tvlive.zmdtvw.cn/live/106770611978226682/index.m3u8
鹤壁新闻,http://pili-live-hls.hebitv.com/hebi/hbtv.m3u8
登封综合,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8
巩义综合,http://tvpull.dxhmt.cn:9081/tv/10181-1.m3u8
鹿邑新闻,http://tvpull.dxhmt.cn:9081/tv/11628-1.m3u8
滑县综合,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8
延安综合,http://live.cloud.yanews.cn/video/s10001-YATV-1/index.m3u8
安康综合,https://hls-sxak.sobeylive.com/xjhsyapp2019/zhpdhd.m3u8
安康教育,http://hls-sxak.sobeylive.com/xjhsyapp2019/jypdhd.m3u8
紫阳综合-dl,http://iptv.nastool.site:56789/udp/SNtele.php?id=zyzh
襄阳综合-dl,http://iptv.nastool.site:56789/udp/hbtelecom.php?id=xyzhh
谷城综合,https://gucheng-live21.cjyun.org/10116/s10116-GCTV1.m3u8?auth_key=1735660799-0-0-54db49cb2f7940e29d9dfceb9747b0af
洪湖综合,http://honghu-live21.cjyun.org/10087/s10087-0823-HONGHUTV01.m3u8?auth_key=1735660799-0-0-ee46a4c41ab551c99632c3762df4d7a0
武汉生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
武汉教育,http://stream.appwuhan.com/jyzb/sd/live.m3u8
宜昌综合,https://liveplay.ycrmt.cn/sxgd/zhpd.m3u8
十堰旅游,https://p8.vzan.com/slowlive/701367497774448672/live.m3u8
荆州新闻,http://jingzhou-live21.cjyun.org:80/10085/s10085-jingzhou-tv01.m3u8?auth_key=1735660799-0-0-e0477d4b5bc584e7518a1bde13892cbe
荆门文旅,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
孝感综合,http://xiaogan-live21.cjyun.org/10139/s10139-xg.m3u8?auth_key=1735660799-0-0-c66126a1e65c45cfa675dd5f16914315
鄂州新闻,http://vapi.91kds.cc/live1/tianma.m3u8?ip=https://app.iezhou.cn&id=37&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
崇阳综合,http://61.184.176.248:10500/live/live.m3u8
石首综合,http://p8.vzan.com/slowlive/622923977748489779/live.m3u8
枝江综合,http://zhijiang-live21.cjyun.org/10120/s10120-zjtv.m3u8?auth_key=1735660799-0-0-fd9715217b53a31e92b5d42d24438b4a
保康综合,http://vapi.91kds.cc/live1/hbxybk.m3u8?id=hbxybk1&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
当阳综合,https://dangyang-live21.cjyun.org/10118/s10118-DYZH.m3u8?auth_key=1735660799-0-0-f8e56d713bf81af226bae8057d9a1bad
重庆卫视',https://sjlivecdn9.cbg.cn/209907041235/app_2/_definst_/ls_2.stream/chunklist.m3u8
重庆新闻,https://sjlivecdn9.cbg.cn/209906282314/app_2/_definst_/ls_3.stream/chunklist.m3u8
璧山综合,http://222.179.42.129:8181/hls1.m3u8
彭水综合,https://qxlmlive9.cbg.cn/applive/pslive01/playlist.m3u8
万州综合,http://vapi.91kds.cc/live1/cqyx.m3u8?id=cqwztv1&apiKey=f7b64854cd0c362f77b24a9da6ec9e85
永川综合,https://qxlmlive9.cbg.cn/applive/yctv01/playlist.m3u8
万盛综合,https://qxlmlive9.cbg.cn/applive/wslive01/playlist.m3u8
潼南综合,http://183.230.184.51:65500/tntv1.m3u8
垫江综合,http://125.62.24.185:80/1.m3u8
武隆综合,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8
酉阳综合,http://qxlmlive9.cbg.cn/applive/youytv01/playlist.m3u8
梁平综合,https://qxlmlive9.cbg.cn/applive/lplive01/chunklist.m3u8
达州新闻,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
乐山新闻,http://m3u8file.lstv.org.cn/nmip-media/channellive/channel1/playlist.m3u8
攀枝花台,https://live.pzhkai.com/xwzhtl/sd/live.m3u8
马尔康台,http://live.zmmek.com:90/live/zhxw.m3u8
什邡综合,http://live.sfrmt.com:85/live/zhpd.m3u8
泸县综合,http://lxfile.lxxcb.cn/nmip-media/channellive/channel103799/playlist.m3u8
彭山综合,http://m3u8tv.psrm.net/nmip-media/channellive/channel100740/playlist.m3u8
利州综合,http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8
汶川新闻,http://live.iwcmt.cn:90/live/zhxw.m3u8
广安新闻,http://live1.gatv.com.cn:85/live/XWZH.m3u8
广安文旅,https://live1.gatv.com.cn:90/live/GGPD.m3u8
万源综合,http://live.wanyuannews.com/wytv/hd/live.m3u8
