专业频道,#genre#
武侠电影,http://43.138.170.29:35455/huya/11342435
射雕英雄,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1354210357
大宋提刑,http://43.138.170.29:35455/douyu/11678039
狄公断案,http://43.138.170.29:35455/douyu/10120371
三国演义,http://43.138.170.29:35455/douyu/7459925
三国演义,http://43.138.170.29:35455/douyu/10906963
西游记↾,http://43.138.170.29:35455/douyu/8953746
中学生↾,http://111.225.92.130:8800/hls/94/index.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/4/224/3221228527/index.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/4/224/3221228524/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰本地,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
卫视文旅,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
康巴卫视,http://[2409:8087:1a01:df::4021]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/1.m3u8
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
西藏影视,http://php.jdshipin.com:8880/xztv.php?id=ys
厦门卫视,https://xiamenalic.v.myalicdn.com/xiamen/xiamen_1/index.m3u8
厦门一套,https://xiamenalic.v.myalicdn.com/xiamen/xiamen1_1/index.m3u8
厦门二套,https://xiamenalic.v.myalicdn.com/xiamen/xiamen2_1/index.m3u8
泉州综合,https://live.qztv.cn/live/news.m3u8
泉州闽南,https://live.qztv.cn/live/mny.m3u8
哈市新闻,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226434/1.m3u8
中国天气,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001102/index.m3u8
老 故 事,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226236/index.m3u8
发现之旅,http://[2409:8087:7001:20:3::6]/wh7f454c46tw2026178696_-516920338/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8?icpid=88888890&RTS=1674102968&from=20&hms_devid=8052&prioritypopid=20&online=1674102968&vqe=3
中华美食,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221227647/index.m3u8
CCTV-4K,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8#http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8#http://php.jdshipin.com:8880/cqyx.php?id=CCTV4K
4 K 修复,http://[2409:8087:2001:20:2800:0:df6e:eb15]/ott.mobaibox.com/PLTV/4/224/3221228141/index.m3u8
移动影院,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221227579/index.m3u8
华数超清,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
